"nearest_line_id","ID","Accident_Index","Location_Easting_OSGR","Location_Northing_OSGR","Longitude.before","Latitude.before","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_.District.","Local_Authority_.Highway.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location","year","Longitude","Latitude","snap_dist","X","Y","optional","FEATID","LAYER","Shape_Length"
"137",3457,"2016950003707",329560,673250,-3.128027,55.94716,95,2,1,1,"2016-07-30",7,13:15:00,923,"S12000036",6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1,NA,"2016",-3.12945880099244,55.9471036231594,2.95679756509972,-3.12947168333721,55.9471289954711,TRUE,137,"20mph existing streets",1524.3769444791
"1381",2485,"2016950000725",317850,668130,-3.313942,55.899306,95,3,1,1,"2016-01-27",4,08:00:00,923,"S12000036",6,0,6,30,3,1,6,0,0,0,5,2,2,0,0,1,2,NA,"2016",-3.31534814883599,55.899252451271,1.58662812834225,-3.31533573158206,55.8992401366283,TRUE,1381,"20mph existing streets",107.947830610384
"14",3746,"0054519",326692,676351,-3.17621519687303,55.9745299337932,NA,3,1,1,"2019-05-07",NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019",-3.17621519687303,55.9745299337932,2.13101247699936,-3.17621709541125,55.9745109505922,TRUE,14,"20mph existing streets",208.700550933486
"1409",102,"2013950004427",326130,674550,-3.184739,55.958311,95,2,2,1,"2013-08-25",1,21:35:00,923,"S12000036",6,0,2,30,1,4,3,900,0,4,4,1,1,0,0,1,2,NA,"2013",-3.18472358649102,55.9582656529189,2.51620110396439,-3.18469277045394,55.9582799753093,TRUE,1409,"20mph existing streets",180.379432751209
"141",2197,"2015950004519",319629,672959,-3.288344,55.94293,95,3,1,1,"2015-09-23",4,16:42:00,923,"S12000036",3,8,6,20,9,4,6,0,0,0,1,1,1,0,0,1,1,NA,"2015",-3.28834430357021,55.9429296495206,4.95519722403819,-3.28826652125104,55.9429366197727,TRUE,141,"20mph existing streets",494.45738204117
"1428",86,"2013950004334",327510,675600,-3.162924,55.967954,95,3,1,1,"2013-08-24",7,18:00:00,923,"S12000036",6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,NA,"2013",-3.16290873737446,55.9679081684798,2.38665550470784,-3.16292006211467,55.9679284934105,TRUE,1428,"20mph existing streets",422.406814541181
"145",2961,"2018950000402",322400,675310,-3.244669,55.964498,95,3,1,1,"2018-03-25",1,23:00:00,923,"S12000036",6,0,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1,NA,"2018",-3.24466918915052,55.9645036762074,2.35597961290604,-3.24467734228042,55.9645241912089,TRUE,145,"20mph existing streets",337.062833254662
"1456",1983,"2015950003567",326560,671630,-3.177042,55.932102,95,3,2,1,"2015-07-29",4,10:00:00,923,"S12000036",5,0,6,30,9,4,6,0,0,0,1,1,1,0,0,1,2,NA,"2015",-3.17704198251789,55.9321017194668,2.48972804324336,-3.177030465615,55.9320804678123,TRUE,1456,"20mph existing streets",90.6779843839993
"1456",716,"2014950001859",326560,671630,-3.177057,55.932147,95,3,2,1,"2014-04-05",7,01:35:00,923,"S12000036",5,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,NA,"2014",-3.17704198251789,55.9321017194668,2.48972804324336,-3.177030465615,55.9320804678123,TRUE,1456,"20mph existing streets",90.6779843839993
"1456",2159,"2015950004323",326560,671630,-3.177042,55.932102,95,2,2,1,"2015-10-01",5,17:15:00,923,"S12000036",5,0,6,30,3,1,6,0,0,0,1,1,1,0,0,1,2,NA,"2015",-3.17704198251789,55.9321017194668,2.48972804324336,-3.177030465615,55.9320804678123,TRUE,1456,"20mph existing streets",90.6779843839993
